0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
11,0.3652,1.6165,1.3137,0.2252,0.8303,1.6338,0.7907,0.5969,0.729,0.2508,0,1.6117,0.2818,0.3648,0.2468,0.7094,0.4902,0.7068,1.3789,0.2957,1.5894,1.1816,1.6219,1.124,0.9214,0.4366,1.5669,1.0404,0.2052,0.725,1.3592,0.988,0.794,1.7411,1.3769,0.6774,0.3085,0.3523,0.7633,1.0361,0.5063,0.6689,0.5581,1.212,0.8277,0.6004,0.7193,1.5766,0.4193,1.7194,0.3989,1.4465,1.1484,0.3473,1.134,0.5368,0.6025,0.1487,0.9009,1.3731,1.191,0.9149,1.1545,1.1375,1.3679,1.6011,1.1026,0.5214,1.1016,1.2876,0.6471,1.1569,1.5883,1.7099,1.8209,0.7842,0.6944,1.31,0.4356,0.9056,1.8433,0.2988,0.4542,0.6186,0.6506,1.769,1.7532,0.4372,0.2168,0.9113,0.4716,1.796,1.677,0.5673,0.4609,0.3691,0.6771,0.6707,0.7935,1.3686,1.7435,1.8068,1.6525,1.0918,1.1966,1.78,0.684,1.6118,1.5862,0.6357,0.9039,1.1259,0.3798,0.2632,1.4747,1.6239,0.1005,0.9049,0.9474,0.963,0.4777,0.9038,0.611,0.5723
12,1.7129,0.2147,0.3761,1.3926,1.281,0.6306,0.8316,1.4999,0.8827,1.3679,1.6117,0,1.4279,1.3508,1.3901,0.9139,1.1464,1.0923,0.423,1.3425,0.2585,0.6847,0.0125,0.488,0.7659,1.1765,0.0791,0.9335,1.4379,0.8982,0.3618,0.8799,1.0529,0.1385,0.5593,0.9778,1.6562,1.4284,1.0743,0.857,1.2214,0.9473,1.0865,0.9038,0.7999,1.5302,1.3934,0.1984,1.5251,0.4316,1.2263,0.2151,0.614,1.3119,0.498,1.2921,1.0148,1.4632,0.7739,0.3468,0.6737,0.6973,0.5304,0.4744,0.2439,0.2574,0.5188,1.1989,0.9999,0.8672,1.3628,0.7631,0.0901,0.4839,0.5511,1.0699,0.9173,0.3064,1.179,0.7574,0.5755,1.6219,1.1607,1.7578,1.5844,0.3041,0.1455,1.2167,1.4162,0.7429,1.1691,0.2402,0.1601,1.075,1.1634,1.5039,0.9364,1.3862,0.8236,0.2505,0.5514,0.3347,0.4174,0.8962,0.8937,0.3198,0.9301,0.079,0.0256,0.9833,0.7465,0.5845,1.3105,1.5212,0.2394,0.4767,1.6533,1.1766,0.9115,0.6562,1.2036,0.7097,1.0087,1.6817
13,0.3056,1.4043,1.1724,0.2501,0.5513,1.3787,0.5972,0.3554,0.5658,0.2595,0.2818,1.4279,0,0.0891,0.3027,0.5858,0.4299,0.4352,1.149,0.3214,1.372,0.929,1.4391,0.9505,0.8227,0.3309,1.3931,0.7673,0.3043,0.5993,1.141,0.723,0.5205,1.5497,1.1297,0.4539,0.5517,0.4827,0.4893,0.7709,0.5295,0.5355,0.4905,0.9377,0.6281,0.3685,0.4514,1.4223,0.2038,1.4848,0.2207,1.286,0.9103,0.1192,0.9336,0.2549,0.4232,0.2003,0.7981,1.1559,0.9392,0.75,0.9345,0.963,1.1859,1.3837,0.9451,0.5338,0.8232,1.0149,0.3741,0.896,1.3927,1.4697,1.5784,0.5093,0.5373,1.1386,0.3393,0.6844,1.5994,0.5306,0.3538,0.4771,0.4322,1.5517,1.5637,0.2114,0.2885,0.6945,0.2604,1.6316,1.5134,0.4948,0.2766,0.1474,0.5052,0.4015,0.65,1.1972,1.4979,1.5882,1.4177,0.8203,0.9231,1.5614,0.5425,1.4171,1.4024,0.4511,0.6889,0.8979,0.4258,0.0966,1.3231,1.3826,0.377,0.623,0.6812,0.8108,0.2297,0.7446,0.4943,0.4071
14,0.3668,1.3212,1.107,0.2877,0.4805,1.2898,0.5232,0.3289,0.5022,0.2895,0.3648,1.3508,0.0891,0,0.3381,0.5349,0.4101,0.3465,1.0631,0.3443,1.288,0.8404,1.3621,0.8781,0.7738,0.3043,1.3184,0.6791,0.3512,0.5472,1.0573,0.6339,0.4322,1.4705,1.0415,0.3735,0.6167,0.5192,0.4011,0.6818,0.5307,0.4831,0.4636,0.8499,0.5518,0.3483,0.3966,1.3523,0.2164,1.3979,0.179,1.215,0.8235,0.0798,0.8545,0.1775,0.3592,0.2621,0.7485,1.0723,0.8507,0.6822,0.851,0.8902,1.1099,1.2997,0.8771,0.5312,0.737,0.9267,0.3153,0.807,1.313,1.382,1.4904,0.4214,0.4766,1.0656,0.3154,0.6019,1.5113,0.5928,0.3265,0.4975,0.4169,1.4674,1.485,0.1431,0.331,0.613,0.1941,1.5584,1.4408,0.4659,0.2219,0.1715,0.4405,0.3467,0.5906,1.1239,1.4096,1.5037,1.3308,0.7318,0.8351,1.4769,0.487,1.3376,1.3253,0.3839,0.6079,0.8129,0.4421,0.1718,1.2541,1.2949,0.4563,0.5436,0.5922,0.7459,0.1474,0.6785,0.4497,0.4217
15,0.5434,1.4126,1.0773,0.0526,0.8076,1.4748,0.5925,0.6563,0.5149,0.0502,0.2468,1.3901,0.3027,0.3381,0,0.4776,0.2491,0.6105,1.1933,0.0497,1.3899,1.027,1.3998,0.9028,0.6782,0.2221,1.3409,0.9303,0.0478,0.4934,1.1633,0.8606,0.6963,1.5227,1.2106,0.5134,0.3177,0.1816,0.6691,0.9075,0.2658,0.443,0.3156,1.1006,0.6321,0.6708,0.7345,1.3426,0.504,1.5341,0.2509,1.2157,0.9761,0.2721,0.9287,0.506,0.409,0.132,0.6588,1.1761,1.0349,0.6941,0.964,0.9166,1.1477,1.4014,0.8744,0.2786,1.0086,1.1698,0.6528,1.0162,1.3735,1.5307,1.6434,0.6912,0.4789,1.0851,0.2159,0.7244,1.6672,0.2867,0.2332,0.7638,0.7349,1.5677,1.5336,0.3193,0.03,0.7258,0.3288,1.5646,1.446,0.3256,0.2969,0.4466,0.4716,0.6847,0.5666,1.1431,1.5704,1.6061,1.4682,0.9757,1.083,1.5796,0.461,1.3962,1.3649,0.4426,0.7171,0.9437,0.1416,0.3594,1.2406,1.4469,0.2644,0.8524,0.8244,0.7351,0.3738,0.6806,0.3814,0.7001
16,0.8914,0.9515,0.6046,0.4853,0.7753,1.0813,0.2063,0.8121,0.1051,0.4599,0.7094,0.9139,0.5858,0.5349,0.4776,0,0.2326,0.4974,0.7638,0.4293,0.9345,0.6698,0.9233,0.429,0.239,0.2755,0.8634,0.6859,0.5254,0.0158,0.7177,0.591,0.5434,1.048,0.8155,0.2863,0.749,0.5253,0.5346,0.6255,0.3345,0.0523,0.1765,0.8275,0.2403,0.8394,0.7928,0.8673,0.7485,1.0961,0.3651,0.7385,0.586,0.4686,0.476,0.5785,0.1922,0.5638,0.2136,0.7285,0.6737,0.225,0.537,0.4429,0.673,0.9456,0.3969,0.3131,0.7877,0.8755,0.7213,0.6904,0.9018,1.102,1.2149,0.5508,0.092,0.6082,0.2745,0.3499,1.2403,0.7146,0.256,1.026,0.9086,1.1081,1.0582,0.3939,0.5047,0.3394,0.3444,1.0878,0.969,0.1646,0.3132,0.7064,0.1365,0.7566,0.093,0.6658,1.1503,1.147,1.0329,0.7101,0.8076,1.121,0.057,0.9238,0.8889,0.186,0.329,0.5352,0.4009,0.6818,0.7654,1.0237,0.7419,0.749,0.573,0.2578,0.4149,0.2083,0.0985,0.948
17,0.7258,1.1809,0.8282,0.2655,0.7856,1.2819,0.3838,0.731,0.2899,0.24,0.4902,1.1464,0.4299,0.4101,0.2491,0.2326,0,0.5314,0.9794,0.1997,1.1618,0.848,1.1558,0.6615,0.4312,0.107,1.0949,0.8042,0.2964,0.2483,0.9403,0.7196,0.604,1.2806,1.015,0.3625,0.5197,0.3023,0.5842,0.7621,0.1571,0.2062,0.0682,0.9649,0.4241,0.7536,0.7582,1.0939,0.6227,1.3167,0.235,0.9679,0.7801,0.3311,0.7005,0.5205,0.2326,0.3517,0.4108,0.952,0.8541,0.4554,0.7495,0.6754,0.9057,1.173,0.6286,0.1458,0.8968,1.0248,0.6774,0.8524,1.1341,1.3187,1.4319,0.605,0.2547,0.8404,0.0949,0.5286,1.4566,0.4854,0.0868,0.9031,0.8233,1.3371,1.2908,0.2999,0.2777,0.5248,0.2692,1.3164,1.1979,0.0771,0.2219,0.5711,0.2635,0.7132,0.3245,0.8979,1.3634,1.3759,1.2522,0.8406,0.9458,1.3497,0.2272,1.1562,1.1215,0.2594,0.515,0.7381,0.1734,0.518,0.9918,1.2377,0.513,0.7949,0.6906,0.4902,0.3467,0.4399,0.143,0.8294
18,0.6543,1.0263,0.9236,0.5729,0.2783,0.9492,0.3538,0.4081,0.4069,0.5618,0.7068,1.0923,0.4352,0.3465,0.6105,0.4974,0.5314,0,0.7522,0.5918,0.9872,0.5063,1.1044,0.6678,0.7023,0.4457,1.0748,0.3336,0.6418,0.5008,0.7628,0.2898,0.0877,1.198,0.7101,0.2118,0.9232,0.77,0.0587,0.3372,0.6879,0.4535,0.5454,0.5052,0.3578,0.4385,0.3245,1.1341,0.4519,1.0752,0.3605,0.9956,0.5099,0.3636,0.6014,0.2135,0.3229,0.5841,0.6764,0.7786,0.5174,0.5214,0.565,0.6767,0.8656,0.9987,0.6933,0.6771,0.4004,0.5809,0.2754,0.4648,1.04,1.0538,1.159,0.0808,0.4064,0.8404,0.4595,0.3449,1.1786,0.8944,0.4555,0.6655,0.4958,1.1631,1.2146,0.2918,0.617,0.3635,0.2863,1.3184,1.206,0.5398,0.328,0.447,0.3609,0.3037,0.4962,0.8945,1.0761,1.1974,1.0087,0.3855,0.4897,1.1709,0.4409,1.065,1.0676,0.3155,0.3636,0.5162,0.6556,0.5038,1.0449,0.9665,0.7923,0.2639,0.2475,0.5935,0.2391,0.529,0.4668,0.5898
19,1.4037,0.2841,0.5326,1.1808,0.8929,0.3433,0.6014,1.1453,0.6894,1.1591,1.3789,0.423,1.149,1.0631,1.1933,0.7638,0.9794,0.7522,0,1.1521,0.2389,0.2758,0.4351,0.4015,0.7304,0.9715,0.4493,0.5287,1.2388,0.7505,0.0873,0.494,0.6934,0.4845,0.1445,0.7026,1.4961,1.2814,0.7199,0.4613,1.0982,0.7754,0.9358,0.4813,0.5615,1.1748,1.0201,0.5638,1.2035,0.3412,0.9801,0.4657,0.2425,1.0443,0.2963,0.9647,0.7853,1.2334,0.7235,0.0939,0.2639,0.5477,0.2301,0.3917,0.3185,0.25,0.473,1.0768,0.5836,0.4452,1.0036,0.3505,0.3421,0.3394,0.4525,0.7102,0.7249,0.3736,0.9786,0.4735,0.4774,1.4621,0.9624,1.4052,1.221,0.4111,0.504,0.9483,1.2142,0.4691,0.9087,0.6618,0.5772,0.9241,0.9185,1.1939,0.7235,1.0215,0.674,0.3809,0.3867,0.4452,0.2749,0.4851,0.4719,0.4186,0.7533,0.3646,0.405,0.7515,0.4772,0.2531,1.1527,1.2337,0.5263,0.26,1.4409,0.7806,0.5321,0.5526,0.9197,0.5684,0.8375,1.3332
20,0.5794,1.3678,1.0279,0.083,0.8021,1.4382,0.5508,0.6694,0.47,0.064,0.2957,1.3425,0.3214,0.3443,0.0497,0.4293,0.1997,0.5918,1.1521,0,1.3459,0.9924,1.3521,0.8557,0.6285,0.1814,1.2927,0.9053,0.0967,0.4451,1.1202,0.8325,0.6761,1.4756,1.1731,0.4805,0.3497,0.1813,0.65,0.8788,0.2238,0.396,0.2659,1.0745,0.5907,0.6857,0.7376,1.2935,0.525,1.4925,0.2317,1.1669,0.9381,0.272,0.8844,0.5042,0.3702,0.1722,0.609,1.1328,0.9999,0.6473,0.9224,0.8695,1.1005,1.3573,0.8262,0.2347,0.9867,1.1421,0.6553,0.9844,1.327,1.4902,1.6031,0.6722,0.434,1.0372,0.1736,0.6855,1.6271,0.3171,0.1899,0.7916,0.7516,1.5233,1.4863,0.3043,0.0793,0.6861,0.3063,1.5157,1.3971,0.276,0.2697,0.4681,0.429,0.6884,0.5189,1.0951,1.531,1.5618,1.4268,0.9492,1.0566,1.5353,0.4145,1.3496,1.3174,0.4034,0.6771,0.9038,0.1059,0.3876,1.1914,1.4069,0.3134,0.8402,0.7974,0.687,0.3597,0.6334,0.3338,0.7253
21,1.6352,0.0524,0.5353,1.3826,1.1312,0.3721,0.8002,1.3834,0.8761,1.3597,1.5894,0.2585,1.372,1.288,1.3899,0.9345,1.1618,0.9872,0.2389,1.3459,0,0.5129,0.2675,0.5198,0.8473,1.1684,0.3192,0.7648,1.4366,0.9198,0.2312,0.733,0.931,0.2662,0.342,0.9199,1.6815,1.4598,0.957,0.6998,1.2645,0.9556,1.1108,0.6993,0.7622,1.413,1.259,0.4477,1.4369,0.1983,1.1917,0.4061,0.4778,1.2633,0.4618,1.1983,0.9883,1.4419,0.8474,0.2167,0.5009,0.7098,0.4377,0.5066,0.319,0.0117,0.5782,1.2423,0.8125,0.6496,1.2419,0.5851,0.1694,0.239,0.3292,0.9479,0.9122,0.399,1.174,0.6884,0.3559,1.6471,1.1567,1.6434,1.4597,0.18,0.2867,1.1667,1.4128,0.6801,1.1241,0.4716,0.4165,1.099,1.1289,1.4249,0.9189,1.2602,0.8417,0.37,0.307,0.2174,0.1651,0.7189,0.6929,0.1905,0.935,0.1806,0.2529,0.9546,0.6869,0.4759,1.3339,1.4595,0.4549,0.2188,1.645,1.0179,0.7709,0.6932,1.1424,0.7277,1.0189,1.5709
22,1.1599,0.5596,0.6851,1.0047,0.6185,0.4522,0.4701,0.8817,0.5731,0.9862,1.1816,0.6847,0.929,0.8404,1.027,0.6698,0.848,0.5063,0.2758,0.9924,0.5129,0,0.6972,0.4625,0.726,0.8128,0.6964,0.253,1.0688,0.6604,0.3229,0.2263,0.4361,0.7586,0.2039,0.514,1.3421,1.1447,0.4652,0.1882,0.989,0.6627,0.8205,0.2408,0.4319,0.9105,0.7497,0.7951,0.9561,0.572,0.7906,0.6742,0.1113,0.836,0.3316,0.7192,0.6251,1.0429,0.7101,0.3381,0.0121,0.5011,0.2246,0.4604,0.519,0.5236,0.5304,0.9699,0.3159,0.2428,0.7395,0.0789,0.6107,0.5479,0.6527,0.4521,0.6033,0.5404,0.8228,0.3224,0.6726,1.3094,0.8094,1.1403,0.9529,0.6777,0.7778,0.7445,1.0432,0.3307,0.7133,0.9248,0.8299,0.8097,0.7341,0.9533,0.5852,0.7546,0.5962,0.5729,0.5702,0.7087,0.5064,0.2117,0.2254,0.6832,0.64,0.6344,0.6639,0.5936,0.341,0.1778,1.0157,1.0059,0.7347,0.4606,1.2548,0.5051,0.2674,0.5409,0.7062,0.5224,0.7172,1.0706
